año,provincia,rubro,genero,empleados,empresa,Superficie en km2,Población total,Densidad hab/km2
2007,Buenos Aires,Combustibles-Producción,Femenino,7,11,305907.0,17523996.0,57.3
2007,Buenos Aires,Combustibles-Producción,Masculino,86,11,305907.0,17523996.0,57.3
2007,Buenos Aires,Metalíferos,Femenino,1,47,305907.0,17523996.0,57.3
2007,Buenos Aires,Metalíferos,Masculino,9,47,305907.0,17523996.0,57.3
2007,Buenos Aires,Minerales no clasificados previamente,Femenino,6,194,305907.0,17523996.0,57.3
2007,Buenos Aires,Minerales no clasificados previamente,Masculino,116,194,305907.0,17523996.0,57.3
2007,Buenos Aires,No metaliferos,Femenino,50,83,305907.0,17523996.0,57.3
2007,Buenos Aires,No metaliferos,Masculino,569,83,305907.0,17523996.0,57.3
2007,Buenos Aires,Rocas de aplicación,Femenino,67,331,305907.0,17523996.0,57.3
2007,Buenos Aires,Rocas de aplicación,Masculino,1482,331,305907.0,17523996.0,57.3
2007,Buenos Aires,Servicios mineros y actividades relacionadas,Femenino,35,237,305907.0,17523996.0,57.3
2007,Buenos Aires,Servicios mineros y actividades relacionadas,Masculino,1006,237,305907.0,17523996.0,57.3
2007,CABA,Combustibles-Producción,Femenino,1,11,,,
2007,CABA,Combustibles-Producción,Masculino,5,11,,,
2007,CABA,Metalíferos,Femenino,48,47,,,
2007,CABA,Metalíferos,Masculino,124,47,,,
2007,CABA,Minerales no clasificados previamente,Femenino,14,194,,,
2007,CABA,Minerales no clasificados previamente,Masculino,52,194,,,
2007,CABA,No metaliferos,Femenino,38,83,,,
2007,CABA,No metaliferos,Masculino,94,83,,,
2007,CABA,Rocas de aplicación,Femenino,22,331,,,
2007,CABA,Rocas de aplicación,Masculino,460,331,,,
2007,CABA,Servicios mineros y actividades relacionadas,Femenino,14,237,,,
2007,CABA,Servicios mineros y actividades relacionadas,Masculino,85,237,,,
2007,Catamarca,Litio,Femenino,6,2,101486.0,429562.0,4.2
2007,Catamarca,Litio,Masculino,131,2,101486.0,429562.0,4.2
2007,Catamarca,Metalíferos,Femenino,154,47,101486.0,429562.0,4.2
2007,Catamarca,Metalíferos,Masculino,1622,47,101486.0,429562.0,4.2
2007,Catamarca,Minerales no clasificados previamente,Femenino,3,194,101486.0,429562.0,4.2
2007,Catamarca,Minerales no clasificados previamente,Masculino,124,194,101486.0,429562.0,4.2
2007,Catamarca,No metaliferos,Masculino,20,83,101486.0,429562.0,4.2
2007,Catamarca,Rocas de aplicación,Masculino,24,331,101486.0,429562.0,4.2
2007,Catamarca,Servicios mineros y actividades relacionadas,Femenino,2,237,101486.0,429562.0,4.2
2007,Catamarca,Servicios mineros y actividades relacionadas,Masculino,111,237,101486.0,429562.0,4.2
2007,Chaco,Combustibles-Producción,Femenino,1,11,99763.0,1129606.0,11.3
2007,Chaco,Combustibles-Producción,Masculino,5,11,99763.0,1129606.0,11.3
2007,Chaco,Rocas de aplicación,Masculino,37,331,99763.0,1129606.0,11.3
2007,Chaco,Servicios mineros y actividades relacionadas,Masculino,1,237,99763.0,1129606.0,11.3
2007,Chubut,Metalíferos,Femenino,17,47,224302.0,592621.0,2.6
2007,Chubut,Metalíferos,Masculino,59,47,224302.0,592621.0,2.6
2007,Chubut,Minerales no clasificados previamente,Femenino,10,194,224302.0,592621.0,2.6
2007,Chubut,Minerales no clasificados previamente,Masculino,246,194,224302.0,592621.0,2.6
2007,Chubut,No metaliferos,Femenino,8,83,224302.0,592621.0,2.6
2007,Chubut,No metaliferos,Masculino,87,83,224302.0,592621.0,2.6
2007,Chubut,Rocas de aplicación,Femenino,16,331,224302.0,592621.0,2.6
2007,Chubut,Rocas de aplicación,Masculino,268,331,224302.0,592621.0,2.6
2007,Chubut,Servicios mineros y actividades relacionadas,Femenino,8,237,224302.0,592621.0,2.6
2007,Chubut,Servicios mineros y actividades relacionadas,Masculino,71,237,224302.0,592621.0,2.6
2007,Cordoba,Metalíferos,Masculino,14,47,,,
2007,Cordoba,Minerales no clasificados previamente,Femenino,13,194,,,
2007,Cordoba,Minerales no clasificados previamente,Masculino,245,194,,,
2007,Cordoba,No metaliferos,Femenino,6,83,,,
2007,Cordoba,No metaliferos,Masculino,35,83,,,
2007,Cordoba,Rocas de aplicación,Femenino,43,331,,,
2007,Cordoba,Rocas de aplicación,Masculino,1044,331,,,
2007,Cordoba,Servicios mineros y actividades relacionadas,Femenino,18,237,,,
2007,Cordoba,Servicios mineros y actividades relacionadas,Masculino,566,237,,,
2007,Corrientes,Metalíferos,Masculino,1,47,89123.0,1212696.0,13.6
2007,Corrientes,Minerales no clasificados previamente,Masculino,18,194,89123.0,1212696.0,13.6
2007,Corrientes,Rocas de aplicación,Femenino,5,331,89123.0,1212696.0,13.6
2007,Corrientes,Rocas de aplicación,Masculino,93,331,89123.0,1212696.0,13.6
2007,Corrientes,Servicios mineros y actividades relacionadas,Femenino,3,237,89123.0,1212696.0,13.6
2007,Corrientes,Servicios mineros y actividades relacionadas,Masculino,24,237,89123.0,1212696.0,13.6
2007,Entre Rios,Minerales no clasificados previamente,Masculino,23,194,,,
2007,Entre Rios,No metaliferos,Masculino,10,83,,,
2007,Entre Rios,Rocas de aplicación,Femenino,20,331,,,
2007,Entre Rios,Rocas de aplicación,Masculino,315,331,,,
2007,Entre Rios,Servicios mineros y actividades relacionadas,Femenino,1,237,,,
2007,Entre Rios,Servicios mineros y actividades relacionadas,Masculino,74,237,,,
2007,Formosa,Rocas de aplicación,Femenino,2,331,75488.0,607419.0,8.0
2007,Formosa,Rocas de aplicación,Masculino,24,331,75488.0,607419.0,8.0
2007,Formosa,Servicios mineros y actividades relacionadas,Masculino,1,237,75488.0,607419.0,8.0
2007,Jujuy,Combustibles-Producción,Femenino,1,11,53244.0,811611.0,15.2
2007,Jujuy,Combustibles-Producción,Masculino,51,11,53244.0,811611.0,15.2
2007,Jujuy,Litio,Femenino,3,2,53244.0,811611.0,15.2
2007,Jujuy,Litio,Masculino,4,2,53244.0,811611.0,15.2
2007,Jujuy,Metalíferos,Femenino,55,47,53244.0,811611.0,15.2
2007,Jujuy,Metalíferos,Masculino,1323,47,53244.0,811611.0,15.2
2007,Jujuy,Minerales no clasificados previamente,Femenino,1,194,53244.0,811611.0,15.2
2007,Jujuy,Minerales no clasificados previamente,Masculino,16,194,53244.0,811611.0,15.2
2007,Jujuy,No metaliferos,Femenino,4,83,53244.0,811611.0,15.2
2007,Jujuy,No metaliferos,Masculino,28,83,53244.0,811611.0,15.2
2007,Jujuy,Rocas de aplicación,Masculino,4,331,53244.0,811611.0,15.2
2007,Jujuy,Servicios mineros y actividades relacionadas,Femenino,6,237,53244.0,811611.0,15.2
2007,Jujuy,Servicios mineros y actividades relacionadas,Masculino,74,237,53244.0,811611.0,15.2
2007,La Pampa,Minerales no clasificados previamente,Masculino,9,194,143493.0,361859.0,2.5
2007,La Pampa,No metaliferos,Femenino,42,83,143493.0,361859.0,2.5
2007,La Pampa,No metaliferos,Masculino,360,83,143493.0,361859.0,2.5
2007,La Pampa,Rocas de aplicación,Masculino,4,331,143493.0,361859.0,2.5
2007,La Pampa,Servicios mineros y actividades relacionadas,Femenino,1,237,143493.0,361859.0,2.5
2007,La Pampa,Servicios mineros y actividades relacionadas,Masculino,13,237,143493.0,361859.0,2.5
2007,La Rioja,Metalíferos,Femenino,2,47,91494.0,383865.0,4.2
2007,La Rioja,Metalíferos,Masculino,14,47,91494.0,383865.0,4.2
2007,La Rioja,Minerales no clasificados previamente,Masculino,2,194,91494.0,383865.0,4.2
2007,La Rioja,No metaliferos,Femenino,39,83,91494.0,383865.0,4.2
2007,La Rioja,No metaliferos,Masculino,61,83,91494.0,383865.0,4.2
2007,La Rioja,Rocas de aplicación,Masculino,11,331,91494.0,383865.0,4.2
2007,La Rioja,Servicios mineros y actividades relacionadas,Masculino,19,237,91494.0,383865.0,4.2
2007,Mendoza,Combustibles-Producción,Masculino,50,11,149069.0,2043540.0,13.7
2007,Mendoza,Metalíferos,Femenino,22,47,149069.0,2043540.0,13.7
2007,Mendoza,Metalíferos,Masculino,79,47,149069.0,2043540.0,13.7
2007,Mendoza,Minerales no clasificados previamente,Femenino,44,194,149069.0,2043540.0,13.7
2007,Mendoza,Minerales no clasificados previamente,Masculino,364,194,149069.0,2043540.0,13.7
2007,Mendoza,No metaliferos,Femenino,8,83,149069.0,2043540.0,13.7
2007,Mendoza,No metaliferos,Masculino,65,83,149069.0,2043540.0,13.7
2007,Mendoza,Rocas de aplicación,Femenino,8,331,149069.0,2043540.0,13.7
2007,Mendoza,Rocas de aplicación,Masculino,213,331,149069.0,2043540.0,13.7
2007,Mendoza,Servicios mineros y actividades relacionadas,Femenino,17,237,149069.0,2043540.0,13.7
2007,Mendoza,Servicios mineros y actividades relacionadas,Masculino,469,237,149069.0,2043540.0,13.7
2007,Misiones,Minerales no clasificados previamente,Femenino,2,194,29911.0,1278873.0,42.8
2007,Misiones,Minerales no clasificados previamente,Masculino,34,194,29911.0,1278873.0,42.8
2007,Misiones,No metaliferos,Masculino,4,83,29911.0,1278873.0,42.8
2007,Misiones,Rocas de aplicación,Femenino,5,331,29911.0,1278873.0,42.8
2007,Misiones,Rocas de aplicación,Masculino,123,331,29911.0,1278873.0,42.8
2007,Misiones,Servicios mineros y actividades relacionadas,Masculino,4,237,29911.0,1278873.0,42.8
2007,Neuquen,Metalíferos,Masculino,1,47,,,
2007,Neuquen,Minerales no clasificados previamente,Femenino,9,194,,,
2007,Neuquen,Minerales no clasificados previamente,Masculino,107,194,,,
2007,Neuquen,No metaliferos,Masculino,40,83,,,
2007,Neuquen,Rocas de aplicación,Femenino,2,331,,,
2007,Neuquen,Rocas de aplicación,Masculino,21,331,,,
2007,Neuquen,Servicios mineros y actividades relacionadas,Femenino,26,237,,,
2007,Neuquen,Servicios mineros y actividades relacionadas,Masculino,379,237,,,
2007,Rio Negro,Metalíferos,Femenino,21,47,,,
2007,Rio Negro,Metalíferos,Masculino,304,47,,,
2007,Rio Negro,Minerales no clasificados previamente,Femenino,4,194,,,
2007,Rio Negro,Minerales no clasificados previamente,Masculino,127,194,,,
2007,Rio Negro,No metaliferos,Femenino,14,83,,,
2007,Rio Negro,No metaliferos,Masculino,115,83,,,
2007,Rio Negro,Rocas de aplicación,Femenino,4,331,,,
2007,Rio Negro,Rocas de aplicación,Masculino,72,331,,,
2007,Rio Negro,Servicios mineros y actividades relacionadas,Femenino,2,237,,,
2007,Rio Negro,Servicios mineros y actividades relacionadas,Masculino,70,237,,,
2007,Salta,Litio,Femenino,17,2,155341.0,1441351.0,9.3
2007,Salta,Litio,Masculino,42,2,155341.0,1441351.0,9.3
2007,Salta,Metalíferos,Femenino,22,47,155341.0,1441351.0,9.3
2007,Salta,Metalíferos,Masculino,87,47,155341.0,1441351.0,9.3
2007,Salta,Minerales no clasificados previamente,Femenino,12,194,155341.0,1441351.0,9.3
2007,Salta,Minerales no clasificados previamente,Masculino,132,194,155341.0,1441351.0,9.3
2007,Salta,No metaliferos,Femenino,18,83,155341.0,1441351.0,9.3
2007,Salta,No metaliferos,Masculino,446,83,155341.0,1441351.0,9.3
2007,Salta,Rocas de aplicación,Femenino,2,331,155341.0,1441351.0,9.3
2007,Salta,Rocas de aplicación,Masculino,72,331,155341.0,1441351.0,9.3
2007,Salta,Servicios mineros y actividades relacionadas,Femenino,17,237,155341.0,1441351.0,9.3
2007,Salta,Servicios mineros y actividades relacionadas,Masculino,476,237,155341.0,1441351.0,9.3
2007,San Juan,Metalíferos,Femenino,112,47,88296.0,822853.0,9.3
2007,San Juan,Metalíferos,Masculino,1164,47,88296.0,822853.0,9.3
2007,San Juan,Minerales no clasificados previamente,Femenino,9,194,88296.0,822853.0,9.3
2007,San Juan,Minerales no clasificados previamente,Masculino,209,194,88296.0,822853.0,9.3
2007,San Juan,No metaliferos,Femenino,6,83,88296.0,822853.0,9.3
2007,San Juan,No metaliferos,Masculino,152,83,88296.0,822853.0,9.3
2007,San Juan,Rocas de aplicación,Femenino,2,331,88296.0,822853.0,9.3
2007,San Juan,Rocas de aplicación,Masculino,34,331,88296.0,822853.0,9.3
2007,San Juan,Servicios mineros y actividades relacionadas,Femenino,20,237,88296.0,822853.0,9.3
2007,San Juan,Servicios mineros y actividades relacionadas,Masculino,317,237,88296.0,822853.0,9.3
2007,San Luis,Metalíferos,Masculino,1,47,75347.0,542069.0,7.2
2007,San Luis,Minerales no clasificados previamente,Femenino,4,194,75347.0,542069.0,7.2
2007,San Luis,Minerales no clasificados previamente,Masculino,93,194,75347.0,542069.0,7.2
2007,San Luis,No metaliferos,Masculino,3,83,75347.0,542069.0,7.2
2007,San Luis,Rocas de aplicación,Femenino,3,331,75347.0,542069.0,7.2
2007,San Luis,Rocas de aplicación,Masculino,150,331,75347.0,542069.0,7.2
2007,San Luis,Servicios mineros y actividades relacionadas,Femenino,1,237,75347.0,542069.0,7.2
2007,San Luis,Servicios mineros y actividades relacionadas,Masculino,202,237,75347.0,542069.0,7.2
2007,Santa Cruz,Combustibles-Producción,Femenino,64,11,244458.0,337226.0,1.4
2007,Santa Cruz,Combustibles-Producción,Masculino,1353,11,244458.0,337226.0,1.4
2007,Santa Cruz,Metalíferos,Femenino,170,47,244458.0,337226.0,1.4
2007,Santa Cruz,Metalíferos,Masculino,1532,47,244458.0,337226.0,1.4
2007,Santa Cruz,Minerales no clasificados previamente,Femenino,3,194,244458.0,337226.0,1.4
2007,Santa Cruz,Minerales no clasificados previamente,Masculino,44,194,244458.0,337226.0,1.4
2007,Santa Cruz,No metaliferos,Masculino,15,83,244458.0,337226.0,1.4
2007,Santa Cruz,Rocas de aplicación,Masculino,4,331,244458.0,337226.0,1.4
2007,Santa Cruz,Servicios mineros y actividades relacionadas,Femenino,1,237,244458.0,337226.0,1.4
2007,Santa Cruz,Servicios mineros y actividades relacionadas,Masculino,47,237,244458.0,337226.0,1.4
2007,Santa Fe,Combustibles-Producción,Masculino,18,11,133249.0,3544908.0,26.6
2007,Santa Fe,Metalíferos,Femenino,5,47,133249.0,3544908.0,26.6
2007,Santa Fe,Metalíferos,Masculino,37,47,133249.0,3544908.0,26.6
2007,Santa Fe,Minerales no clasificados previamente,Masculino,5,194,133249.0,3544908.0,26.6
2007,Santa Fe,No metaliferos,Femenino,4,83,133249.0,3544908.0,26.6
2007,Santa Fe,No metaliferos,Masculino,16,83,133249.0,3544908.0,26.6
2007,Santa Fe,Rocas de aplicación,Femenino,23,331,133249.0,3544908.0,26.6
2007,Santa Fe,Rocas de aplicación,Masculino,285,331,133249.0,3544908.0,26.6
2007,Santa Fe,Servicios mineros y actividades relacionadas,Femenino,3,237,133249.0,3544908.0,26.6
2007,Santa Fe,Servicios mineros y actividades relacionadas,Masculino,25,237,133249.0,3544908.0,26.6
2007,Santiago Del Estero,Combustibles-Producción,Masculino,4,11,136934.0,1060906.0,7.7
2007,Santiago Del Estero,Minerales no clasificados previamente,Masculino,2,194,136934.0,1060906.0,7.7
2007,Santiago Del Estero,No metaliferos,Femenino,3,83,136934.0,1060906.0,7.7
2007,Santiago Del Estero,No metaliferos,Masculino,68,83,136934.0,1060906.0,7.7
2007,Santiago Del Estero,Rocas de aplicación,Femenino,1,331,136934.0,1060906.0,7.7
2007,Santiago Del Estero,Rocas de aplicación,Masculino,62,331,136934.0,1060906.0,7.7
2007,Santiago Del Estero,Servicios mineros y actividades relacionadas,Masculino,6,237,136934.0,1060906.0,7.7
2007,Tierra Del Fuego,No metaliferos,Femenino,1,83,,,
2007,Tierra Del Fuego,No metaliferos,Masculino,14,83,,,
2007,Tierra Del Fuego,Rocas de aplicación,Masculino,13,331,,,
2007,Tierra Del Fuego,Servicios mineros y actividades relacionadas,Femenino,1,237,,,
2007,Tierra Del Fuego,Servicios mineros y actividades relacionadas,Masculino,15,237,,,
2007,Tucuman,Metalíferos,Femenino,7,47,22592.0,1731820.0,76.7
2007,Tucuman,Metalíferos,Masculino,36,47,22592.0,1731820.0,76.7
2007,Tucuman,Minerales no clasificados previamente,Masculino,12,194,22592.0,1731820.0,76.7
2007,Tucuman,No metaliferos,Femenino,18,83,22592.0,1731820.0,76.7
2007,Tucuman,No metaliferos,Masculino,179,83,22592.0,1731820.0,76.7
2007,Tucuman,Rocas de aplicación,Femenino,2,331,22592.0,1731820.0,76.7
2007,Tucuman,Rocas de aplicación,Masculino,72,331,22592.0,1731820.0,76.7
2007,Tucuman,Servicios mineros y actividades relacionadas,Femenino,2,237,22592.0,1731820.0,76.7
2007,Tucuman,Servicios mineros y actividades relacionadas,Masculino,36,237,22592.0,1731820.0,76.7
2008,Buenos Aires,Combustibles-Producción,Femenino,10,13,305907.0,17523996.0,57.3
2008,Buenos Aires,Combustibles-Producción,Masculino,85,13,305907.0,17523996.0,57.3
2008,Buenos Aires,Metalíferos,Femenino,1,49,305907.0,17523996.0,57.3
