"año_mes","rubro","Cantidad"
2007-01-01,"Combustibles-Producción",10
2007-01-01,"Litio",2
2007-01-01,"Metalíferos",47
2007-01-01,"Minerales no clasificados previamente",183
2007-01-01,"No metaliferos",82
2007-01-01,"Rocas de aplicación",311
2007-01-01,"Servicios mineros y actividades relacionadas",225
2007-02-01,"Combustibles-Producción",10
2007-02-01,"Litio",2
2007-02-01,"Metalíferos",46
2007-02-01,"Minerales no clasificados previamente",189
2007-02-01,"No metaliferos",82
2007-02-01,"Rocas de aplicación",315
2007-02-01,"Servicios mineros y actividades relacionadas",229
2007-03-01,"Combustibles-Producción",10
2007-03-01,"Litio",2
2007-03-01,"Metalíferos",46
2007-03-01,"Minerales no clasificados previamente",191
2007-03-01,"No metaliferos",82
2007-03-01,"Rocas de aplicación",315
2007-03-01,"Servicios mineros y actividades relacionadas",231
2007-04-01,"Combustibles-Producción",11
2007-04-01,"Litio",2
2007-04-01,"Metalíferos",46
2007-04-01,"Minerales no clasificados previamente",191
2007-04-01,"No metaliferos",82
2007-04-01,"Rocas de aplicación",319
2007-04-01,"Servicios mineros y actividades relacionadas",230
2007-05-01,"Combustibles-Producción",11
2007-05-01,"Litio",2
2007-05-01,"Metalíferos",46
2007-05-01,"Minerales no clasificados previamente",191
2007-05-01,"No metaliferos",83
2007-05-01,"Rocas de aplicación",325
2007-05-01,"Servicios mineros y actividades relacionadas",232
2007-06-01,"Combustibles-Producción",11
2007-06-01,"Litio",2
2007-06-01,"Metalíferos",46
2007-06-01,"Minerales no clasificados previamente",195
2007-06-01,"No metaliferos",83
2007-06-01,"Rocas de aplicación",331
2007-06-01,"Servicios mineros y actividades relacionadas",233
2007-07-01,"Combustibles-Producción",11
2007-07-01,"Litio",2
2007-07-01,"Metalíferos",46
2007-07-01,"Minerales no clasificados previamente",198
2007-07-01,"No metaliferos",84
2007-07-01,"Rocas de aplicación",335
2007-07-01,"Servicios mineros y actividades relacionadas",233
2007-08-01,"Combustibles-Producción",11
2007-08-01,"Litio",2
2007-08-01,"Metalíferos",46
2007-08-01,"Minerales no clasificados previamente",198
2007-08-01,"No metaliferos",84
2007-08-01,"Rocas de aplicación",337
2007-08-01,"Servicios mineros y actividades relacionadas",231
2007-09-01,"Combustibles-Producción",12
2007-09-01,"Litio",2
2007-09-01,"Metalíferos",47
2007-09-01,"Minerales no clasificados previamente",198
2007-09-01,"No metaliferos",83
2007-09-01,"Rocas de aplicación",340
2007-09-01,"Servicios mineros y actividades relacionadas",236
2007-10-01,"Combustibles-Producción",11
2007-10-01,"Litio",2
2007-10-01,"Metalíferos",48
2007-10-01,"Minerales no clasificados previamente",196
2007-10-01,"No metaliferos",85
2007-10-01,"Rocas de aplicación",342
2007-10-01,"Servicios mineros y actividades relacionadas",240
2007-11-01,"Combustibles-Producción",11
2007-11-01,"Litio",2
2007-11-01,"Metalíferos",48
2007-11-01,"Minerales no clasificados previamente",199
2007-11-01,"No metaliferos",86
2007-11-01,"Rocas de aplicación",350
2007-11-01,"Servicios mineros y actividades relacionadas",259
2007-12-01,"Combustibles-Producción",11
2007-12-01,"Litio",2
2007-12-01,"Metalíferos",48
2007-12-01,"Minerales no clasificados previamente",202
2007-12-01,"No metaliferos",84
2007-12-01,"Rocas de aplicación",349
2007-12-01,"Servicios mineros y actividades relacionadas",260
2008-01-01,"Combustibles-Producción",11
